Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,84.50,176.75,12.44,28.06,23.12,41.01,3.44,1.44,21.21,6.75,10.48,NA,NA,9.91,NA,NA,77.36,0.30,128.88,NA,NA,NA,742.76,0.32
2025-01-01 01:00:00,86.12,178.30,17.82,26.63,25.68,40.94,3.47,1.42,24.81,6.79,10.48,NA,NA,10.02,NA,NA,78.87,0.47,144.79,NA,NA,NA,742.42,0.30
2025-01-01 02:00:00,81.55,176.95,18.71,28.32,27.72,40.96,3.32,1.18,27.90,6.80,10.57,NA,NA,9.94,NA,NA,79.99,0.57,148.00,NA,NA,NA,742.37,0.28
2025-01-01 03:00:00,74.35,167.55,17.06,26.52,24.94,40.94,2.07,1.19,30.06,7.48,12.86,NA,NA,11.12,NA,NA,78.54,0.48,150.60,NA,NA,NA,742.60,0.30
2025-01-01 04:00:00,69.00,161.90,21.38,27.73,29.35,52.27,1.65,1.33,29.87,7.96,14.12,NA,NA,11.83,NA,NA,78.73,0.52,146.02,NA,NA,NA,742.53,0.29
2025-01-01 05:00:00,65.68,156.15,17.84,30.79,26.65,53.24,0.05,1.36,32.93,7.92,14.02,NA,NA,11.79,NA,NA,76.57,0.71,149.53,NA,NA,NA,742.65,0.29
2025-01-01 06:00:00,79.20,158.55,21.36,27.27,29.71,53.45,0.05,1.35,30.74,7.11,12.86,NA,NA,8.99,NA,NA,76.31,0.76,152.68,NA,NA,NA,742.75,0.29
2025-01-01 07:00:00,85.05,161.50,15.78,30.20,26.15,53.16,4.58,1.31,29.65,3.93,8.26,NA,NA,NA,NA,NA,76.34,0.67,144.44,NA,NA,NA,742.80,0.28
2025-01-01 08:00:00,88.20,168.12,15.39,28.87,26.08,95.48,4.81,1.49,24.88,3.07,6.32,NA,NA,NA,NA,NA,75.28,0.41,118.17,NA,NA,NA,743.36,0.30
2025-01-01 09:00:00,93.92,172.35,14.55,28.03,25.63,68.32,8.24,1.72,20.07,0.00,0.00,NA,NA,NA,NA,NA,73.35,0.42,103.76,NA,NA,NA,743.73,0.31
2025-01-01 10:00:00,95.07,182.88,18.06,28.61,27.72,73.81,8.10,1.28,16.81,0.00,0.00,NA,NA,NA,NA,NA,71.69,0.47,102.63,NA,NA,NA,743.92,0.33
