Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,104.0,222.2,17.36,27.1,28.18,74.8,3.53,1.76,0.01,6.75,10.38,,,9.95,,,98.31,1.44,183.94,,,149.65,746.64,0.29
2024-01-01 01:00:00,100.1,233.7,13.05,26.26,24.29,69.39,3.49,1.54,,6.72,10.63,,,10.01,,,99.38,0.88,174.84,,,151.4,746.65,0.28
2024-01-01 02:00:00,109.5,234.08,9.6,24.7,20.64,67.22,3.87,1.46,0.1,6.77,10.42,,,9.9,,,99.38,1.18,183.26,,,151.35,746.65,0.27
2024-01-01 03:00:00,102.0,212.7,10.5,23.39,20.72,66.54,3.79,1.48,0.15,7.49,12.86,,,11.11,,,99.38,1.14,129.16,,,152.34,746.66,0.26
2024-01-01 04:00:00,102.3,212.28,12.35,21.95,21.44,66.75,1.21,1.7,,7.95,14.36,,,11.81,,,99.43,1.21,139.54,,,159.97,746.72,0.25
2024-01-01 05:00:00,83.1,209.08,11.34,19.63,19.39,65.0,1.21,1.69,0.16,7.91,14.26,,,11.79,,,99.41,1.05,144.36,,,153.37,746.67,0.24
2024-01-01 06:00:00,91.5,195.18,12.34,19.21,19.98,64.96,1.34,1.82,0.03,7.12,12.79,,,9.08,,,99.43,1.06,136.98,,,157.33,746.69,0.23
2024-01-01 07:00:00,97.9,202.98,13.35,18.9,20.61,64.91,1.3,1.82,0.22,3.97,8.23,,,,,,99.38,1.51,154.64,,,172.36,746.8,0.24
2024-01-01 08:00:00,97.3,196.62,11.78,20.38,20.14,65.02,1.22,1.72,1.69,3.06,6.32,,,,,,97.77,1.53,167.18,,,203.94,747.04,0.26
2024-01-01 09:00:00,88.9,186.55,11.3,19.74,19.43,64.06,1.21,1.61,5.34,0.0,0.0,,,,,,92.94,1.72,176.78,,,242.4,747.32,0.3
2024-01-01 10:00:00,94.4,197.68,12.0,19.66,19.91,65.24,1.23,1.59,8.96,0.0,0.0,,,,,,89.23,1.4,196.64,,,298.96,747.74,0.34
2024-01-01 11:00:00,83.1,193.78,11.46,20.91,20.18,66.0,2.48,1.44,14.47,0.0,0.0,,,,,,82.4,1.42,191.96,,,353.27,748.14,0.4
2024-01-01 12:00:00,76.4,190.1,8.74,22.46,18.8,67.3,8.21,1.6,17.37,0.0,0.0,,,,,,76.5,1.13,200.59,,,338.83,748.02,0.45
2024-01-01 13:00:00,84.4,208.27,9.36,25.35,20.85,68.22,7.94,1.49,23.58,0.0,0.0,,,,,,72.38,1.23,178.75,,,307.62,747.79,0.48
2024-01-01 14:00:00,92.4,219.82,8.26,26.62,20.64,68.12,5.16,1.4,30.82,0.0,0.0,,,,,,71.24,1.45,145.15,,,238.15,747.3,0.5
2024-01-01 15:00:00,96.3,213.2,8.24,24.8,19.66,68.54,5.34,1.24,22.48,0.0,0.0,,,,,,73.42,1.59,149.1,,,214.87,747.12,0.5
2024-01-01 16:00:00,100.0,237.08,8.52,30.93,23.15,70.43,3.97,1.49,14.97,0.0,0.0,,,,,,77.15,1.6,155.22,,,172.9,746.81,0.48
2024-01-01 17:00:00,112.5,235.35,10.25,41.45,30.1,74.0,3.77,1.82,5.46,0.0,0.0,,,,,,84.18,1.38,140.82,,,142.93,746.59,0.44
2024-01-01 18:00:00,120.1,246.23,15.57,45.68,36.64,78.09,9.52,2.38,1.17,0.54,1.48,,,,,,87.89,1.19,141.67,,,151.25,746.66,0.42
2024-01-01 19:00:00,136.6,296.52,17.37,45.03,37.73,78.8,9.78,2.24,0.58,2.35,6.39,,,,,,88.06,1.06,170.86,,,145.16,746.61,0.4
2024-01-01 20:00:00,149.1,310.1,35.36,42.7,50.88,85.36,7.43,3.04,0.76,3.5,9.31,,,2.19,,,92.18,0.88,160.6,,,146.0,746.61,0.39
2024-01-01 21:00:00,173.7,333.45,47.2,38.32,58.02,89.28,8.64,3.23,0.17,4.35,11.4,,,2.76,,,96.32,0.68,109.06,,,151.02,746.64,0.37
2024-01-01 22:00:00,179.9,377.1,30.18,38.14,44.32,84.88,3.85,2.14,0.08,1.86,13.2,,,11.49,,,94.24,0.97,156.91,,,154.35,746.67,0.37
2024-01-01 23:00:00,177.8,377.3,12.76,31.82,26.97,74.81,4.42,1.46,0.07,1.23,13.56,,,13.65,,,95.26,0.86,136.41,,,145.36,746.6,0.36
2024-01-02 00:00:00,154.7,332.48,10.2,25.44,21.58,74.15,4.54,1.55,0.05,6.74,10.44,,,10.04,,,99.38,1.0,179.22,,,151.09,746.65,0.33
2024-01-02 01:00:00,146.1,318.12,8.25,20.02,17.11,67.65,3.77,1.38,0.32,6.74,10.32,,,9.84,,,99.38,0.88,142.95,,,150.29,746.64,0.32
2024-01-02 02:00:00,127.6,283.08,8.32,18.67,16.44,66.03,1.42,1.32,0.73,6.77,10.38,,,10.0,,,99.38,0.33,241.22,,,148.94,746.63,0.3
2024-01-02 03:00:00,117.8,243.85,8.25,15.6,14.78,64.54,1.23,1.23,2.17,7.57,12.71,,,11.12,,,99.38,1.06,158.38,,,148.94,746.63,0.3
2024-01-02 04:00:00,106.6,235.32,8.01,17.0,15.32,63.78,1.73,1.41,1.99,7.99,14.28,,,11.73,,,99.4,0.34,203.31,,,149.44,746.64,0.29
2024-01-02 05:00:00,101.3,226.62,8.44,16.29,15.21,63.44,1.37,1.36,0.33,7.96,14.23,,,11.77,,,99.44,0.56,133.6,,,149.94,746.64,0.26
2024-01-02 06:00:00,92.2,211.48,8.44,17.93,16.15,62.93,7.16,1.51,0.5,7.06,12.8,,,9.03,,,99.44,1.43,143.28,,,157.3,746.7,0.25
2024-01-02 07:00:00,100.3,222.98,10.4,19.2,18.38,63.22,6.37,1.66,2.41,4.04,8.2,,,,,,99.44,1.48,146.42,,,171.76,746.81,0.24
2024-01-02 08:00:00,104.5,217.73,14.11,22.5,23.14,65.67,2.35,1.84,2.36,3.07,6.28,,,,,,99.4,1.73,153.25,,,210.72,747.08,0.27
