Timestamp,PM2.5 (µg/m³),Station,Actual_PM2.5_24h,Predicted_PM2.5_24h
2026-01-01 00:00:00,28.5,Gomti Nagar,95.25,70.7537327273194
2026-01-01 01:00:00,30.5,Gomti Nagar,107.25,48.93756510640537
2026-01-01 02:00:00,27.75,Gomti Nagar,109.0,66.64559706803921
2026-01-01 03:00:00,26.0,Gomti Nagar,109.75,44.071152036552085
2026-01-01 04:00:00,21.75,Gomti Nagar,94.5,43.23468830347832
2026-01-01 05:00:00,20.0,Gomti Nagar,89.25,38.767524946723604
2026-01-01 06:00:00,20.0,Gomti Nagar,82.75,37.309239914841044
2026-01-01 07:00:00,28.5,Gomti Nagar,87.25,36.14864397738479
2026-01-01 08:00:00,51.75,Gomti Nagar,88.0,43.032996678709075
2026-01-01 09:00:00,66.0,Gomti Nagar,88.75,65.53893354483043
2026-01-01 10:00:00,57.5,Gomti Nagar,92.5,66.57368947616925
2026-01-01 11:00:00,55.25,Gomti Nagar,86.0,65.08111938372724
2026-01-01 12:00:00,63.0,Gomti Nagar,71.5,64.52215273681469
2026-01-01 13:00:00,67.5,Gomti Nagar,70.75,63.81587973917415
2026-01-01 14:00:00,70.75,Gomti Nagar,72.0,64.30173024450451
2026-01-01 15:00:00,72.0,Gomti Nagar,79.0,63.01071617087639
2026-01-01 16:00:00,75.5,Gomti Nagar,74.75,63.774158799826694
2026-01-01 17:00:00,64.75,Gomti Nagar,63.5,67.92790563487787
2026-01-01 18:00:00,77.0,Gomti Nagar,53.25,76.26162348956738
2026-01-01 19:00:00,89.5,Gomti Nagar,52.0,81.7774519403798
2026-01-01 20:00:00,104.0,Gomti Nagar,52.0,84.98716787438883
2026-01-01 21:00:00,97.25,Gomti Nagar,54.75,77.97269211776809
2026-01-01 22:00:00,94.25,Gomti Nagar,54.25,66.38897715189002
2026-01-01 23:00:00,91.25,Gomti Nagar,48.75,64.68283687121846
2026-01-02 00:00:00,95.25,Gomti Nagar,41.5,51.78214298330326
2026-01-02 01:00:00,107.25,Gomti Nagar,32.25,58.489237748027975
