Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,,,11.32,10.5,11.93,10.85,0.79,0.68,9.91,1.53,6.0,,,5.2,2.02,8.32,95.81,0.13,166.67,,,52.6,747.22,-1.61
2024-01-01 01:00:00,37.67,,13.89,7.78,15.15,20.83,1.49,0.68,10.04,0.87,4.42,,,6.37,1.25,8.22,95.81,0.17,184.26,,,52.32,747.2,-1.62
2024-01-01 02:00:00,55.6,,11.35,5.7,12.39,48.2,1.8,0.52,7.84,0.86,4.57,,,6.35,1.25,7.88,95.81,0.15,207.04,,,56.1,747.12,-1.66
2024-01-01 03:00:00,71.5,,12.43,5.36,12.77,48.18,1.64,0.4,6.84,4.15,5.9,,,1.25,,7.61,95.81,0.12,132.24,,,58.52,747.02,-1.7
2024-01-01 04:00:00,63.6,,16.52,5.15,16.09,32.61,1.78,0.34,8.07,4.14,5.88,,,1.25,,7.53,95.81,0.08,155.37,,,61.82,747.0,-1.7
2024-01-01 05:00:00,62.1,,14.69,5.27,15.75,27.6,2.46,0.41,8.07,3.52,3.87,,,1.08,,7.38,95.81,0.09,150.68,,,57.89,746.98,-1.72
2024-01-01 06:00:00,61.4,,12.4,6.88,13.94,27.56,2.54,0.49,7.9,3.0,2.41,,,,,7.2,95.81,0.08,178.1,,,61.26,746.9,-1.75
2024-01-01 07:00:00,57.5,,12.19,7.73,13.81,41.26,2.67,0.62,9.99,2.99,2.38,,,,,7.37,95.81,0.08,138.67,,,85.54,746.98,-1.73
2024-01-01 08:00:00,69.3,,14.6,5.72,15.03,62.06,3.28,0.7,16.29,2.8,2.22,,,,,8.02,95.78,0.12,189.56,,,141.57,747.15,-1.65
2024-01-01 09:00:00,65.9,110.4,13.03,4.6,13.09,61.99,3.66,0.88,19.38,0.0,0.0,,,,,8.83,95.74,0.19,172.75,,,215.45,747.35,-1.54
2024-01-01 10:00:00,58.6,109.12,12.37,5.92,13.15,61.59,3.5,1.01,21.97,0.0,0.0,,,,,10.1,95.68,0.23,149.12,,,260.66,747.72,-1.39
2024-01-01 11:00:00,62.2,119.88,12.5,6.88,13.92,56.14,3.7,1.03,25.34,0.0,0.0,,,,,11.42,95.49,0.31,172.44,,,349.92,748.08,-1.23
2024-01-01 12:00:00,61.1,114.7,14.99,8.4,16.8,45.51,3.56,0.96,30.79,0.0,0.0,,,,,12.16,94.53,0.31,188.43,,,336.29,748.28,-1.14
2024-01-01 13:00:00,74.6,118.5,11.24,4.71,11.72,45.92,4.16,0.99,30.82,0.0,0.0,,,,,13.22,87.95,0.3,146.82,,,303.48,748.58,-1.0
2024-01-01 14:00:00,68.9,116.22,11.94,5.32,12.56,45.9,3.95,0.91,33.92,0.0,0.0,,,,,13.9,84.98,0.42,113.55,,,182.24,748.75,-0.92
2024-01-01 15:00:00,71.1,124.0,11.06,6.07,12.2,43.18,4.36,0.98,39.41,0.0,0.0,,,,,13.67,87.39,0.41,108.55,,,128.0,748.68,-0.94
2024-01-01 16:00:00,69.3,121.52,10.96,7.74,13.21,38.08,4.06,1.03,39.17,0.0,0.0,,,,,12.94,92.6,0.38,164.36,,,70.68,748.5,-1.04
2024-01-01 17:00:00,75.9,125.72,11.5,6.22,12.82,38.0,4.29,1.18,34.02,0.0,0.0,,,,,11.74,95.4,0.5,87.49,,,36.34,748.15,-1.18
2024-01-01 18:00:00,78.4,137.5,13.7,6.66,14.67,38.22,4.42,1.34,25.9,0.0,0.0,,,,,11.16,95.71,0.44,163.78,,,48.24,748.02,-1.26
