Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,42.98,142.40,11.42,1.81,10.86,13.26,9.07,1.11,10.13,1.98,8.69,NA,NA,5.22,2.06,9.41,85.38,0.45,46.82,NA,NA,50.46,747.52,0.16
2025-01-01 01:00:00,46.08,140.90,10.70,2.15,10.37,27.41,6.68,0.88,9.97,1.12,6.29,NA,NA,6.38,1.25,8.84,87.98,0.41,48.59,NA,NA,52.34,747.38,0.14
2025-01-01 02:00:00,46.50,133.07,11.55,1.28,10.46,63.53,7.28,0.95,7.78,1.12,6.46,NA,NA,6.32,1.26,8.50,92.12,0.38,54.71,NA,NA,57.34,747.30,0.12
2025-01-01 03:00:00,42.32,126.55,12.21,1.72,11.05,63.10,4.66,0.76,6.67,5.34,8.31,NA,NA,1.25,NA,8.60,91.08,0.38,53.60,NA,NA,62.64,747.30,0.13
2025-01-01 04:00:00,37.68,119.25,9.84,1.62,9.33,43.04,2.45,0.88,8.07,5.39,8.32,NA,NA,1.26,NA,8.81,86.47,0.37,54.40,NA,NA,64.34,747.40,0.14
2025-01-01 05:00:00,37.20,110.65,11.39,1.12,9.52,36.67,1.51,0.68,8.19,4.50,5.45,NA,NA,0.55,NA,8.87,84.84,0.39,45.54,NA,NA,64.06,747.40,0.14
2025-01-01 06:00:00,41.08,111.28,9.84,1.70,9.23,36.46,0.64,0.75,7.69,3.89,3.38,NA,NA,NA,NA,8.84,84.94,0.40,46.86,NA,NA,63.38,747.40,0.14
2025-01-01 07:00:00,44.82,120.65,11.96,1.80,11.00,54.37,6.76,1.06,10.06,3.89,3.36,NA,NA,NA,NA,8.60,83.88,0.37,47.54,NA,NA,72.02,747.30,0.13
2025-01-01 08:00:00,54.65,129.02,13.68,1.68,12.46,81.14,5.23,1.24,16.33,3.62,3.14,NA,NA,NA,NA,8.76,83.64,0.36,54.20,NA,NA,88.94,747.35,0.14
2025-01-01 09:00:00,58.88,129.38,13.24,0.84,11.42,80.83,5.29,0.71,20.01,0.00,0.00,NA,NA,NA,NA,9.16,82.45,0.40,64.20,NA,NA,109.14,747.45,0.16
