Timestamp,PM2.5 (µg/m³),target_pm25_24h,hour,day_of_week,month,day_of_year,is_weekend,hour_sin,hour_cos,month_sin,month_cos,pm25_lag_1,pm25_lag_3,pm25_lag_6,pm25_lag_12,pm25_lag_24,pm25_lag_48,pm25_lag_72,pm25_lag_168,pm25_roll_mean_6,pm25_roll_std_6,pm25_roll_mean_12,pm25_roll_std_12,pm25_roll_mean_24,pm25_roll_std_24,pm25_roll_mean_72,pm25_roll_std_72
2024-01-11 17:00:00,59.25,46.5,17,3,1,11,0,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,44.75,41.5,69.5,30.25,39.0,47.0,28.0,35.67,51.125,12.814786381364092,42.666666666666664,14.994064482219907,50.40625,19.67657132833689,41.55555555555556,16.55747683445852
2024-01-11 18:00:00,59.0,53.5,18,3,1,11,0,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387,59.25,38.0,64.25,23.5,42.75,56.5,33.25,37.0,49.416666666666664,10.314633617664825,45.083333333333336,15.147131941744124,51.25,19.60021628097171,41.989583333333336,16.60664625455554
2024-01-11 19:00:00,59.75,74.75,19,3,1,11,0,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387,59.0,44.75,48.75,24.0,50.0,59.25,47.25,36.0,48.541666666666664,8.935066685070758,48.041666666666664,13.969460738816394,51.927083333333336,19.574478610229132,42.34722222222222,16.692831574603826
2024-01-11 20:00:00,54.0,69.25,20,3,1,11,0,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,59.75,59.25,41.5,29.75,53.0,77.0,48.0,37.0,50.375,10.04583246923791,51.020833333333336,12.057371535012637,52.333333333333336,19.633830977182694,42.520833333333336,16.80913724943735
2024-01-11 21:00:00,61.5,74.25,21,3,1,11,0,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387,54.0,59.0,38.0,41.5,73.0,60.75,51.75,34.5,52.458333333333336,9.087651878602152,53.041666666666664,10.029974017308254,52.375,19.636368211095913,42.604166666666664,16.851502942125084
2024-01-11 22:00:00,63.75,57.0,22,3,1,11,0,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387,61.5,59.75,44.75,56.25,92.0,37.25,52.0,33.0,56.375,6.22243923232637,54.708333333333336,9.589787023261527,51.895833333333336,19.24765890149773,42.739583333333336,16.964826781056953
2024-01-11 23:00:00,69.75,54.25,23,3,1,11,0,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387,63.75,54.0,59.25,69.5,94.0,30.25,53.0,29.25,59.541666666666664,3.245830658962494,55.333333333333336,9.937494044213963,50.71875,17.470209503858126,42.90277777777778,17.11104759860577
2024-01-12 00:00:00,73.75,70.0,0,4,1,12,0,0.0,1.0,0.49999999999999994,0.8660254037844387,69.75,61.5,59.0,64.25,79.5,26.25,48.25,28.0,61.291666666666664,5.261693326930107,55.354166666666664,9.970102086040077,49.708333333333336,15.44162687606812,43.135416666666664,17.36228192452709
2024-01-12 01:00:00,76.5,64.0,1,4,1,12,0,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,73.75,63.75,59.75,48.75,55.25,24.0,42.25,23.25,63.75,7.101056259458452,56.145833333333336,11.058449224119284,49.46875,14.997520175450429,43.489583333333336,17.72438826195598
2024-01-12 02:00:00,67.5,55.25,2,4,1,12,0,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,76.5,69.75,54.0,41.5,50.25,24.0,26.0,21.25,66.54166666666667,8.389601698928303,58.458333333333336,12.212527720882916,50.354166666666664,15.950657044301549,43.96527777777778,18.145262135056665
